SampleID	BD_strain	Day0	Day3	Day5	Day7	Slope	Per_growth	Per_inhib
Yeast extract	Jel197	0.2	0.351	0.746	1.579	0.18882243	101.8928824	-1.892882359
Yeast extract	Jel197	0.2	0.37	0.758	1.55	0.185327103	100.0067243	-0.006724271
Acetate	Jel423	0.211	0.356	0.746	1.459	0.172560748	93.00045332	6.999546683
Acetate	Jel423	0.19	0.343	0.729	1.544	0.185401869	99.9210893	0.078910697
Acetate	Jel423	0.148	0.361	0.741	1.515	0.18782243	101.2256342	-1.225634224
Arabinose	Jel423	0.205	0.346	0.724	1.415	0.167308411	90.16974195	9.830258055
Arabinose	Jel423	0.185	0.333	0.707	1.498	0.179766355	96.88386696	3.11613304
Arabinose	Jel423	0.144	0.351	0.719	1.47	0.182168224	98.17833817	1.821661826
Citrate	Jel423	0.207	0.349	0.731	1.429	0.168971963	91.06630177	8.933698225
Citrate	Jel423	0.186	0.336	0.714	1.513	0.181691589	97.92145867	2.078541327
Citrate	Jel423	0.145	0.354	0.726	1.484	0.183971963	99.1504508	0.849549202
Dextrose	Jel423	0.199	0.336	0.702	1.47	0.174084112	93.82146035	6.178539648
Dextrose	Jel423	0.18	0.323	0.687	1.455	0.174588785	94.09345041	5.906549588
Dextrose	Jel423	0.14	0.341	0.697	1.427	0.176757009	95.2620003	4.737999698
Fructose	Jel423	0.201	0.339	0.709	1.487	0.17611215	94.91445745	5.085542553
Fructose	Jel423	0.181	0.326	0.693	1.469	0.176345794	95.04037877	4.959621229
Fructose	Jel423	0.141	0.344	0.704	1.441	0.178560748	96.23411293	3.765887074
Galactose	Jel423	0.203	0.342	0.716	1.431	0.169271028	91.22748107	8.77251893
Galactose	Jel423	0.182	0.329	0.7	1.483	0.178149533	96.0124914	3.987508605
Galactose	Jel423	0.142	0.347	0.711	1.455	0.180364486	97.20622555	2.79377445
Heart infusion	Jel423	0.205	0.345	0.724	1.415	0.167336449	90.1848525	9.815147496
Heart infusion	Jel423	0.184	0.333	0.707	1.497	0.179785047	96.89394067	3.106059334
Heart infusion	Jel423	0.143	0.35	0.718	1.469	0.182168224	98.17833817	1.821661826
Heat killed zoospores	Jel423	0.182	0.171	0.183	0.115	-0.007785047	-4.195698528	104.1956985
Heat killed zoospores	Jel423	0.178	0.18	0.171	0.162	-0.002327103	-1.254176391	101.2541764
Heat killed zoospores	Jel423	0.139	0.162	0.135	0.144	-0.000224299	-0.120884471	100.1208845
Lactose	Jel423	0.199	0.335	0.702	1.43	0.169252336	91.21740736	8.782592636
Lactose	Jel423	0.179	0.323	0.687	1.453	0.174485981	94.03804503	5.961954971
Lactose	Jel423	0.139	0.34	0.697	1.426	0.176803738	95.28718457	4.712815433
LB	Jel423	0.201	0.338	0.709	1.486	0.176018692	94.86408892	5.135911083
LB	Jel423	0.18	0.326	0.693	1.467	0.176242991	94.98497339	5.015026611
LB	Jel423	0.14	0.343	0.704	1.44	0.178607477	96.25929719	3.740702809
M9	Jel423	0.208	0.351	0.736	1.438	0.170102804	91.67576098	8.324239015
M9	Jel423	0.187	0.338	0.719	1.522	0.18282243	98.53091788	1.469082117
M9	Jel423	0.146	0.356	0.73	1.493	0.185056075	99.73472574	0.265274257
Malt extract	Jel423	0.217	0.365	0.766	1.497	0.177018692	95.40303219	4.596967815
Malt extract	Jel423	0.195	0.352	0.748	1.585	0.190317757	102.570474	-2.570473968
Malt extract	Jel423	0.152	0.371	0.76	1.555	0.192728972	103.869982	-3.869982035
Mannitol	Jel423	0.213	0.358	0.751	1.467	0.173429907	93.46888064	6.531119357
Mannitol	Jel423	0.191	0.345	0.733	1.553	0.186485981	100.5053642	-0.505364248
Mannitol	Jel423	0.149	0.363	0.745	1.524	0.188906542	101.8099092	-1.809909169
Mannose	Jel423	0.207	0.349	0.731	1.429	0.168971963	91.06630177	8.933698225
Mannose	Jel423	0.186	0.336	0.714	1.513	0.181691589	97.92145867	2.078541327
Mannose	Jel423	0.145	0.354	0.726	1.484	0.183971963	99.1504508	0.849549202
Negative	Jel423	0.184	0.162	0.174	0.109	-0.008962617	-4.830342002	104.830342
Negative	Jel423	0.17	0.171	0.162	0.154	-0.002345794	-1.264250097	101.2642501
Negative	Jel423	0.162	0.154	0.128	0.137	-0.004401869	-2.372357751	102.3723578
Nutrient depleted	Jel423	0.197	0.293	0.303	0.385	0.025102804	13.52898709	86.47101291
Nutrient depleted	Jel423	0.195	0.212	0.392	0.322	0.024158879	13.02026494	86.97973506
Nutrient depleted	Jel423	0.148	0.25	0.304	0.381	0.032738318	17.64409597	82.35590403
Peptone	Jel423	0.204	0.344	0.721	1.409	0.166635514	89.80708853	10.19291147
Peptone	Jel423	0.183	0.331	0.704	1.492	0.179233645	96.59676634	3.40323366
Peptone	Jel423	0.143	0.349	0.716	1.464	0.181495327	97.81568476	2.18431524
Positive	Jel423	0.216	0.363	0.761	1.488	0.17588785	94.79357298	5.206427024
Positive	Jel423	0.194	0.35	0.744	1.575	0.18911215	101.9207199	-1.920719934
Positive	Jel423	0.151	0.369	0.756	1.546	0.19164486	103.2857071	-3.28570709
Pyruvate	Jel423	0.202	0.34	0.714	1.395	0.165	88.92563926	11.07436074
Pyruvate	Jel423	0.181	0.328	0.697	1.477	0.177448598	95.63472742	4.365272578
Pyruvate	Jel423	0.141	0.345	0.708	1.449	0.179691589	96.84357214	3.156427864
R2A	Jel423	0.213	0.359	0.754	1.473	0.174271028	93.92219741	6.077802589
R2A	Jel423	0.192	0.346	0.736	1.559	0.187186916	100.8831282	-0.883128221
R2A	Jel423	0.149	0.365	0.748	1.53	0.189719626	102.2481154	-2.248115378
Succinate	Jel423	0.213	0.358	0.751	1.467	0.173429907	93.46888064	6.531119357
Succinate	Jel423	0.191	0.345	0.733	1.553	0.186485981	100.5053642	-0.505364248
Succinate	Jel423	0.149	0.363	0.745	1.524	0.188906542	101.8099092	-1.809909169
Thiamine	Jel423	0.2	0.338	0.707	1.381	0.163308411	88.01396887	11.98603113
Thiamine	Jel423	0.18	0.325	0.69	1.463	0.17564486	94.6626148	5.337385202
Thiamine	Jel423	0.141	0.343	0.702	1.435	0.177766355	95.80598042	4.194019577
Xylose	Jel423	0.212	0.356	0.746	1.459	0.172420561	92.92490052	7.075099478
Xylose	Jel423	0.191	0.343	0.73	1.544	0.185308411	99.87072077	0.129279226
Xylose	Jel423	0.148	0.362	0.741	1.516	0.187915888	101.2760028	-1.276002753
Yeast extract	Jel423	0.198	0.334	0.7	1.368	0.161794393	87.19799869	12.80200131
Yeast extract	Jel423	0.178	0.322	0.684	1.448	0.173906542	93.72576015	6.274239855
Yeast extract	Jel423	0.139	0.339	0.694	1.421	0.176084112	94.89934689	5.100653112
